txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
CESAR SOUZA;73720.0;PSD;SC;2;14997.920000000002;M;17.0
CESAR SOUZA;73720.0;PSD;SC;3;24081.07;M;17.0
CESAR SOUZA;73720.0;PSD;SC;4;39914.16999999999;M;17.0
CESAR SOUZA;73720.0;PSD;SC;5;26274.6;M;17.0
CESAR SOUZA;73720.0;PSD;SC;6;12694.780000000002;M;17.0
CESAR SOUZA;73720.0;PSD;SC;7;19712.25;M;17.0
CESAR SOUZA;73720.0;PSD;SC;8;25605.289999999994;M;17.0
CESAR SOUZA;73720.0;PSD;SC;9;22050.789999999997;M;17.0
CESAR SOUZA;73720.0;PSD;SC;10;29651.329999999998;M;17.0
JOÃO RODRIGUES;160571.0;PSD;SC;1;20805.719999999998;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;2;29075.429999999997;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;3;53793.85;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;4;78745.75999999998;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;5;45811.63999999998;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;6;45437.97;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;7;39620.18;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;8;31584.369999999984;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;9;40728.66999999999;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;10;36746.56000000002;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;11;34589.79;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;12;20691.76000000001;M;2.0
ONOFRE SANTO AGOSTINI;160563.0;PSD;SC;1;5200.3;M;43.0
