txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
CELSO MALDANER;141405.0;MDB;SC;1;14724.31;M;22.0
CELSO MALDANER;141405.0;MDB;SC;2;18987.09;M;22.0
CELSO MALDANER;141405.0;MDB;SC;3;39671.01999999998;M;22.0
CELSO MALDANER;141405.0;MDB;SC;4;45500.80999999999;M;22.0
CELSO MALDANER;141405.0;MDB;SC;5;37620.649999999994;M;22.0
CELSO MALDANER;141405.0;MDB;SC;6;31677.419999999995;M;22.0
CELSO MALDANER;141405.0;MDB;SC;7;39680.52;M;22.0
CELSO MALDANER;141405.0;MDB;SC;8;45813.92000000002;M;22.0
CELSO MALDANER;141405.0;MDB;SC;9;48974.610000000015;M;22.0
CELSO MALDANER;141405.0;MDB;SC;10;41906.759999999995;M;22.0
CELSO MALDANER;141405.0;MDB;SC;11;48725.28000000001;M;22.0
CELSO MALDANER;141405.0;MDB;SC;12;43963.44000000002;M;22.0
EDINHO BEZ;73793.0;MDB;SC;1;35475.67;M;9.0
EDINHO BEZ;73793.0;MDB;SC;2;21587.829999999987;M;9.0
EDINHO BEZ;73793.0;MDB;SC;3;30453.549999999996;M;9.0
EDINHO BEZ;73793.0;MDB;SC;4;33731.53999999999;M;9.0
EDINHO BEZ;73793.0;MDB;SC;5;27561.139999999996;M;9.0
EDINHO BEZ;73793.0;MDB;SC;6;32913.020000000004;M;9.0
EDINHO BEZ;73793.0;MDB;SC;7;40958.189999999995;M;9.0
EDINHO BEZ;73793.0;MDB;SC;8;41913.420000000006;M;9.0
EDINHO BEZ;73793.0;MDB;SC;9;35725.11000000001;M;9.0
EDINHO BEZ;73793.0;MDB;SC;10;36728.140000000014;M;9.0
EDINHO BEZ;73793.0;MDB;SC;11;31421.899999999998;M;9.0
EDINHO BEZ;73793.0;MDB;SC;12;74359.20000000001;M;9.0
MAURO MARIANI;141507.0;MDB;SC;1;14839.36;M;5.0
MAURO MARIANI;141507.0;MDB;SC;2;18775.06000000001;M;5.0
MAURO MARIANI;141507.0;MDB;SC;3;41461.28;M;5.0
MAURO MARIANI;141507.0;MDB;SC;4;34567.850000000006;M;5.0
MAURO MARIANI;141507.0;MDB;SC;5;25674.97;M;5.0
MAURO MARIANI;141507.0;MDB;SC;6;25633.72999999999;M;5.0
MAURO MARIANI;141507.0;MDB;SC;7;26221.359999999993;M;5.0
MAURO MARIANI;141507.0;MDB;SC;8;31931.110000000008;M;5.0
