txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
DÉCIO LIMA;141413.0;PT;SC;1;21945.599999999995;M;21.0
DÉCIO LIMA;141413.0;PT;SC;2;25907.3;M;21.0
DÉCIO LIMA;141413.0;PT;SC;3;20177.619999999995;M;21.0
DÉCIO LIMA;141413.0;PT;SC;4;80193.88999999998;M;21.0
DÉCIO LIMA;141413.0;PT;SC;5;50828.61000000002;M;21.0
DÉCIO LIMA;141413.0;PT;SC;6;32258.620000000006;M;21.0
DÉCIO LIMA;141413.0;PT;SC;7;28654.039999999994;M;21.0
DÉCIO LIMA;141413.0;PT;SC;8;6368.33;M;21.0
DÉCIO LIMA;141413.0;PT;SC;9;7543.370000000001;M;21.0
DÉCIO LIMA;141413.0;PT;SC;10;42368.92000000001;M;21.0
DÉCIO LIMA;141413.0;PT;SC;11;104557.00000000006;M;21.0
DÉCIO LIMA;141413.0;PT;SC;12;18329.650000000005;M;21.0
FRANCISCO DE ASSIS;178387.0;PT;SC;8;7052.47;M;2.0
FRANCISCO DE ASSIS;178387.0;PT;SC;9;20299.11999999998;M;2.0
FRANCISCO DE ASSIS;178387.0;PT;SC;10;37412.86999999996;M;2.0
FRANCISCO DE ASSIS;178387.0;PT;SC;11;34629.080000000016;M;2.0
FRANCISCO DE ASSIS;178387.0;PT;SC;12;7485.250000000002;M;2.0
LUCI CHOINACKI;73474.0;PT;SC;1;26420.250000000004;F;18.0
LUCI CHOINACKI;73474.0;PT;SC;2;35979.939999999995;F;18.0
LUCI CHOINACKI;73474.0;PT;SC;3;37457.21000000001;F;18.0
LUCI CHOINACKI;73474.0;PT;SC;4;46940.430000000015;F;18.0
LUCI CHOINACKI;73474.0;PT;SC;5;40133.86000000003;F;18.0
LUCI CHOINACKI;73474.0;PT;SC;6;39930.39000000001;F;18.0
LUCI CHOINACKI;73474.0;PT;SC;7;16113.63;F;18.0
LUCI CHOINACKI;73474.0;PT;SC;8;10201.180000000002;F;18.0
LUCI CHOINACKI;73474.0;PT;SC;9;7033.540000000002;F;18.0
LUCI CHOINACKI;73474.0;PT;SC;10;39104.269999999975;F;18.0
LUCI CHOINACKI;73474.0;PT;SC;11;64486.829999999994;F;18.0
LUCI CHOINACKI;73474.0;PT;SC;12;64502.340000000004;F;18.0
PEDRO UCZAI;160604.0;PT;SC;1;22125.359999999997;M;23.0
PEDRO UCZAI;160604.0;PT;SC;2;45901.340000000026;M;23.0
PEDRO UCZAI;160604.0;PT;SC;3;34491.579999999994;M;23.0
PEDRO UCZAI;160604.0;PT;SC;4;23806.46;M;23.0
PEDRO UCZAI;160604.0;PT;SC;5;63365.55;M;23.0
PEDRO UCZAI;160604.0;PT;SC;6;43793.27999999999;M;23.0
PEDRO UCZAI;160604.0;PT;SC;7;32594.23;M;23.0
PEDRO UCZAI;160604.0;PT;SC;8;2741.52;M;23.0
PEDRO UCZAI;160604.0;PT;SC;12;10404.42;M;23.0
