txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
ESPERIDIÃO AMIN;160649.0;PP;SC;1;18189.779999999995;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;2;37560.17000000001;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;3;34041.62999999999;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;4;32678.159999999996;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;5;32528.879999999994;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;6;23513.05;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;7;24750.390000000003;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;8;18334.77;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;9;12672.25;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;10;23822.52999999999;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;11;37010.69999999999;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;12;44501.239999999976;M;41.0
JORGE BOEIRA;74388.0;PP;SC;1;1041.48;M;16.0
JORGE BOEIRA;74388.0;PP;SC;2;7966.93;M;16.0
JORGE BOEIRA;74388.0;PP;SC;3;4291.13;M;16.0
JORGE BOEIRA;74388.0;PP;SC;7;8721.85;M;16.0
JORGE BOEIRA;74388.0;PP;SC;8;6429.950000000001;M;16.0
JORGE BOEIRA;74388.0;PP;SC;9;4633.85;M;16.0
JORGE BOEIRA;74388.0;PP;SC;10;9208.75;M;16.0
JORGE BOEIRA;74388.0;PP;SC;11;14160.960000000003;M;16.0
JORGE BOEIRA;74388.0;PP;SC;12;6911.800000000001;M;16.0
JOÃO PIZZOLATTI;73874.0;PP;SC;1;25893.379999999997;M;17.0
JOÃO PIZZOLATTI;73874.0;PP;SC;2;31739.48;M;17.0
JOÃO PIZZOLATTI;73874.0;PP;SC;3;43977.280000000006;M;17.0
JOÃO PIZZOLATTI;73874.0;PP;SC;4;39351.650000000016;M;17.0
JOÃO PIZZOLATTI;73874.0;PP;SC;5;19889.07;M;17.0
JOÃO PIZZOLATTI;73874.0;PP;SC;6;34946.67;M;17.0
JOÃO PIZZOLATTI;73874.0;PP;SC;7;33521.76;M;17.0
JOÃO PIZZOLATTI;73874.0;PP;SC;8;23806.52;M;17.0
JOÃO PIZZOLATTI;73874.0;PP;SC;9;53879.209999999985;M;17.0
JOÃO PIZZOLATTI;73874.0;PP;SC;10;10099.009999999998;M;17.0
JOÃO PIZZOLATTI;73874.0;PP;SC;11;27728.609999999986;M;17.0
JOÃO PIZZOLATTI;73874.0;PP;SC;12;18418.020000000004;M;17.0
