txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
PAULO BORNHAUSEN;73883.0;PSB;SC;4;28522.879999999997;M;28
PAULO BORNHAUSEN;73883.0;PSB;SC;5;30435.280000000002;M;28
PAULO BORNHAUSEN;73883.0;PSB;SC;6;35266.78000000001;M;28
PAULO BORNHAUSEN;73883.0;PSB;SC;7;28588.450000000004;M;28
PAULO BORNHAUSEN;73883.0;PSB;SC;8;34899.920000000006;M;28
PAULO BORNHAUSEN;73883.0;PSB;SC;9;10633.290000000003;M;28
PAULO BORNHAUSEN;73883.0;PSB;SC;10;29840.699999999997;M;28
PAULO BORNHAUSEN;73883.0;PSB;SC;11;45956.259999999995;M;28
PAULO BORNHAUSEN;73883.0;PSB;SC;12;54859.35;M;28
