160515,RONALDO JOSÉ BENEDET,M,Em Exercício,27
73720,César Antonio de Souza,M,Em Exercício,17
178966,GEOVANIA DE SA RODRIGUES,F,Em Exercício,45
178967,JOAO PAULO KARAM KLEINUBING,M,Em Exercício,17
160536,MARCO ANTONIO TEBALDI,M,Em Exercício,11
160571,JOÃO RODRIGUES,M,Em Exercício,2
160604,PEDRO FRANCISCO UCZAI,M,Em Exercício,23
160649,ESPERIDIÃO AMIN HELOU FILHO,M,Em Exercício,41
141507,MAURO MARIANI,M,Em Exercício,5
141405,CELSO MALDANER,M,Em Exercício,22
160651,ROGÉRIO MENDONÇA,M,Em Exercício,25
160509,JORGINHO DOS SANTOS MELLO,M,Em Exercício,27
164360,CARMEN EMÍLIA BONFÁ ZANOTTO,F,Suplência,42
141413,DÉCIO NERY DE LIMA,M,Em Exercício,21
74388,JORGE CATARINO LEONARDELI BOEIRA,M,Em Exercício,16
74010,VALDIR COLATTO,M,Suplência,2
