
JOÃO PAULO KLEINÜBING;178967.0;DEM;SC;1;25877.49;M;17
JOÃO PAULO KLEINÜBING;178967.0;DEM;SC;2;39199.33999999999;M;17
JOÃO PAULO KLEINÜBING;178967.0;DEM;SC;3;47942.6;M;17
JOÃO PAULO KLEINÜBING;178967.0;DEM;SC;4;44673.81;M;17
JOÃO PAULO KLEINÜBING;178967.0;DEM;SC;5;42470.719999999994;M;17
JOÃO PAULO KLEINÜBING;178967.0;DEM;SC;6;33025.83999999999;M;17
JOÃO PAULO KLEINÜBING;178967.0;DEM;SC;7;8065.66;M;17
JOÃO PAULO KLEINÜBING;178967.0;DEM;SC;8;13.55;M;17

CELSO MALDANER;141405.0;MDB;SC;1;59560.93999999998;M;22.0
CELSO MALDANER;141405.0;MDB;SC;2;57688.529999999984;M;22.0
CELSO MALDANER;141405.0;MDB;SC;3;56799.27999999999;M;22.0
CELSO MALDANER;141405.0;MDB;SC;4;48432.450000000004;M;22.0
CELSO MALDANER;141405.0;MDB;SC;5;42252.399999999994;M;22.0
CELSO MALDANER;141405.0;MDB;SC;6;22258.380000000005;M;22.0
CELSO MALDANER;141405.0;MDB;SC;7;4563.42;M;22.0
CELSO MALDANER;141405.0;MDB;SC;8;321.2;M;22.0
MAURO MARIANI;141507.0;MDB;SC;1;17567.559999999998;M;5.0
MAURO MARIANI;141507.0;MDB;SC;2;28446.79;M;5.0
MAURO MARIANI;141507.0;MDB;SC;3;31367.73;M;5.0
MAURO MARIANI;141507.0;MDB;SC;4;25526.039999999997;M;5.0
MAURO MARIANI;141507.0;MDB;SC;5;24759.54;M;5.0
MAURO MARIANI;141507.0;MDB;SC;6;21320.340000000007;M;5.0
MAURO MARIANI;141507.0;MDB;SC;7;3548.34;M;5.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;1;13480.84;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;2;21086.8;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;3;32990.319999999985;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;4;30708.209999999985;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;5;24776.290000000005;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;6;13045.719999999996;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;7;6159.040000000002;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;8;422.68999999999994;M;25.0
RONALDO BENEDET;160515.0;MDB;SC;1;45751.59000000002;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;2;37370.52;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;3;50613.86999999997;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;4;45110.00999999999;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;5;31599.850000000006;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;6;29197.469999999994;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;7;12825.73;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;8;146.01;M;27.0
VALDIR COLATTO;74010.0;MDB;SC;1;29067.010000000002;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;2;54205.749999999985;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;3;39377.80999999999;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;4;36650.759999999995;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;5;48007.46;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;6;38445.39;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;7;6962.72;M;2.0

ESPERIDIÃO AMIN;160649.0;PP;SC;1;14268.470000000003;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;2;25914.600000000002;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;3;33149.04999999998;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;4;33902.88999999998;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;5;43168.920000000006;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;6;14480.520000000002;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;7;5405.1;M;41.0
ESPERIDIÃO AMIN;160649.0;PP;SC;8;260.0;M;41.0
JORGE BOEIRA;74388.0;PP;SC;1;3041.6;M;16.0
JORGE BOEIRA;74388.0;PP;SC;2;14672.54;M;16.0
JORGE BOEIRA;74388.0;PP;SC;3;4871.259999999999;M;16.0
JORGE BOEIRA;74388.0;PP;SC;4;1103.1100000000001;M;16.0

CARMEN ZANOTTO;164360.0;PPS;SC;1;15872.650000000003;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;2;17174.929999999997;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;3;27619.079999999994;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;4;28294.05999999999;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;5;27830.550000000003;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;6;17842.01;F;42
CARMEN ZANOTTO;164360.0;PPS;SC;7;722.5699999999999;F;42

JORGINHO MELLO;160509.0;PR;SC;1;28670.030000000002;M;27
JORGINHO MELLO;160509.0;PR;SC;2;52276.19;M;27
JORGINHO MELLO;160509.0;PR;SC;3;30615.849999999995;M;27
JORGINHO MELLO;160509.0;PR;SC;4;31021.309999999998;M;27
JORGINHO MELLO;160509.0;PR;SC;5;32745.43;M;27
JORGINHO MELLO;160509.0;PR;SC;6;18657.63;M;27
JORGINHO MELLO;160509.0;PR;SC;7;3619.69;M;27

CESAR SOUZA;73720.0;PSD;SC;1;23351.84;M;17.0
CESAR SOUZA;73720.0;PSD;SC;2;40867.6;M;17.0
CESAR SOUZA;73720.0;PSD;SC;3;37732.87999999999;M;17.0
CESAR SOUZA;73720.0;PSD;SC;4;30566.600000000002;M;17.0
CESAR SOUZA;73720.0;PSD;SC;5;42771.78;M;17.0
CESAR SOUZA;73720.0;PSD;SC;6;16835.850000000002;M;17.0
CESAR SOUZA;73720.0;PSD;SC;7;6602.360000000001;M;17.0
CESAR SOUZA;73720.0;PSD;SC;8;43.4;M;17.0
JOÃO RODRIGUES;160571.0;PSD;SC;1;17693.46;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;2;9109.79;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;3;1192.46;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;4;864.27;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;5;346.67;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;6;2936.13;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;7;674.5699999999999;M;2.0
JOÃO RODRIGUES;160571.0;PSD;SC;8;404.52;M;2.0

GEOVANIA DE SÁ;178966.0;PSDB;SC;1;23360.090000000004;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;2;33734.64000000001;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;3;48122.63;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;4;35737.12000000001;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;5;39239.8;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;6;36124.96999999999;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;7;8394.03;F;45.0
GEOVANIA DE SÁ;178966.0;PSDB;SC;8;1.85;F;45.0
MARCO TEBALDI;160536.0;PSDB;SC;1;30019.03;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;2;33449.03;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;3;36800.47;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;4;58513.950000000004;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;5;38069.73999999999;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;6;19286.719999999998;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;7;15669.78;M;11.0
MARCO TEBALDI;160536.0;PSDB;SC;8;189.10999999999999;M;11.0

DÉCIO LIMA;141413.0;PT;SC;1;23912.520000000008;M;21.0
