ideCadastro,nome, sexo, condicao, comissoesNo
164359,WALDIR SOARES DE OLIVEIRA,M,Suplência,11
178971,JONY MARCOS DE SOUZA ARAUJO,M,Em Exercício,13
178998,TANIA RAQUEL DE QUEIROZ MUNIZ,F,Em Exercício,76
160545,ALEXANDRE LEITE DA SILVA,M,Em Exercício,39
178980,ANTONIO GOULART DOS REIS,M,Em Exercício,62
67312,JULIA MARIA GODINHO DA CRUZ MARINHO,F,Em Exercício,16
179000,MARCELO HENRIQUE TEIXEIRA DIAS,M,Em Exercício,26
141480,LÁZARO BOTELHO MARTINS,M,Em Exercício,16
160646,FERNANDO DESTITO FRANCISCHINI,M,Em Exercício,41
178931,LUCIANO DUCCI,M,Em Exercício,38
178860,PAULO VELLOSO DANTAS AZI,M,Em Exercício,34
178892,DAMINA DE CARVALHO PEREIRA,F,Em Exercício,23
178983,MARCIO LUIZ ALVINO DE SOUZA,M,Em Exercício,18
178949,ZENAIDE MAIA CALADO PEREIRA DOS SANTOS,F,Em Exercício,36
141439,FRANCISCO JOSÉ D'ANGELO PINTO,M,Em Exercício,17
178911,SIMONE MARIA MORGADO FERREIRA,F,Em Exercício,19
141542,SÉRGIO IVAN MORAES,M,Em Exercício,18
160669,GENECIAS MATEUS NORONHA,M,Em Exercício,22
178913,VENEZIANO VITAL DO RÊGO SEGUNDO NETO,M,Em Exercício,29
178839,JESSICA ROJAS SALES,F,Em Exercício,14
160642,FRANCISCO EURICO DA SILVA,M,Em Exercício,41
160565,MARA CRISTINA GABRILLI,F,Em Exercício,25
74213,ANTONIO BALHMANN CARDOSO NUNES FILHO,M,Em Exercício,23
97707,HERÁCLITO DE SOUSA FORTES,M,Em Exercício,23
137070,VICENTE ALVES DE OLIVEIRA JUNIOR,M,Em Exercício,35
178872,GIVALDO VIEIRA DA SILVA,M,Em Exercício,26
74060,DANIEL GOMES DE ALMEIDA,M,Em Exercício,38
160575,ÉRIKA JUCÁ KOKAY,F,Em Exercício,53
152605,GLAUBER DE MEDEIROS BRAGA,M,Em Exercício,16
141562,WELINGTON COIMBRA,M,Em Exercício,28
171617,PAULO FERNANDO DOS SANTOS,M,Em Exercício,20
178826,SERGIO OLIMPIO GOMES,M,Em Exercício,57
160544,JUNJI ABE,M,Em Exercício,33
141411,DAGOBERTO NOGUEIRA FILHO,M,Em Exercício,24
74010,VALDIR COLATTO,M,Suplência,2
133373,MARCO AURÉLIO SPALL MAIA,M,Em Exercício,6
141384,ANTÔNIO CARLOS VALADARES FILHO,M,Em Exercício,20
178964,HEITOR JOSE SCHUCH,M,Em Exercício,39
160607,JOSE LUIZ STÉDILE,M,Em Exercício,39
160677,FRANCISCO FLORIANO DE SOUSA SILVA,M,Em Exercício,15
131943,Jarbas de Andrade Vasconcelos,M,Em Exercício,7
73560,SILVIO FRANÇA TORRES,M,Em Exercício,10
73926,JANETE MARIA GÓES CAPIBERIBE,F,Vacância,22
141445,GILBERTO JOSÉ SPIER VARGAS,M,Em Exercício,24
160558,PAULO ROBERTO FREIRE DA COSTA,M,Em Exercício,27
160976,FRANCISCO EVERARDO OLIVEIRA SILVA,M,Em Exercício,7
74571,NELSON VICENTE PORTELA PELLEGRINO,M,Em Exercício,21
167493,WEVERTON ROCHA MARQUES DE SOUSA,M,Em Exercício,23
160530,ANTONIO JOSÉ IMBASSAHY DA SILVA,M,Em Exercício,23
74558,GIVALDO DE SÁ GOUVEIA,M,Em Exercício,16
74041,LUIZ ALBUQUERQUE COUTO,M,Em Exercício,26
74156,JOSÉ LEONARDO COSTA MONTEIRO,M,Em Exercício,25
74356,SILAS CÂMARA,M,Em Exercício,16
141335,JOSÉ ROBERTO OLIVEIRA FARO,M,Em Exercício,0
73788,RICARDO JOSÉ MAGALHÃES BARROS,M,Em Exercício,27
74449,PEDRO FERNANDES RIBEIRO,M,Em Exercício,23
74262,CARLOS HENRIQUE FOCESI SAMPAIO,M,Em Exercício,26
74693,RODRIGO FELINTO IBARRA EPITÁCIO MAIA,M,Em Exercício,34
148134,VICTORIO GALLI FILHO,M,Suplência,4
74378,ASSIS MIGUEL DO COUTO,M,Em Exercício,18
74651,CARLOS DO CARMO ANDRADE MELLES,M,Em Exercício,23
67138,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,F,Em Exercício,22
62881,FRANCISCO DANILO BASTOS FORTE,M,Em Exercício,25
160601,MARCO ANTÔNIO FELICIANO,M,Em Exercício,27
74043,JOSÉ WELLINGTON ROBERTO,M,Em Exercício,26
74665,JAIME MARTINS FILHO,M,Em Exercício,35
141558,WALDIR MARANHÃO CARDOSO,M,Em Exercício,18
73666,JOVAIR DE OLIVEIRA ARANTES,M,Em Exercício,33
73891,DARCÍSIO PAULO PERONDI,M,Em Exercício,23
178866,LUIZIANNE DE OLIVEIRA LINS,F,Em Exercício,26
178863,ULDURICO ALENCAR PINTO,M,Em Exercício,28
178829,JOSE AUGUSTO ROSA,M,Em Exercício,80
178934,ANTONIO WANDSCHEER,M,Em Exercício,30
178877,FABIO FERNANDES DE SOUSA,M,Em Exercício,25
178936,ALEXANDRE VALLE CARDOSO,M,Em Exercício,38
160636,JOSÉ WILSON SANTIAGO FILHO,M,Em Exercício,45
178905,FABIO PAULINO GARCIA,M,Em Exercício,39
178955,LUIZ CLAUDIO PEREIRA ALVES,M,Em Exercício,26
178898,SERGIO LUCIO DE ALMEIDA,M,Em Exercício,19
178938,BENEVENUTO DACIOLO FONSECA DOS SANTOS,M,Em Exercício,16
178970,JOAO SOMARIVA DANIEL,M,Em Exercício,35
160610,VALMIR CARLOS DA ASSUNÇÃO,M,Em Exercício,18
178847,ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO,M,Em Exercício,14
178882,ANDRE LUIZ CARVALHO RIBEIRO,M,Em Exercício,22
160517,PAULO ROBERTO FOLETTO,M,Em Exercício,43
178865,FLAVIO ALVES SABINO,M,Em Exercício,77
178904,EZEQUIEL ANGELO FONSECA,M,Em Exercício,30
160666,FELIX DE ALMEIDA MENDONÇA JÚNIOR,M,Em Exercício,28
178922,FRANCISCO TADEU BARBOSA DE ALENCAR,M,Em Exercício,46
178992,VITOR LIPPI,M,Em Exercício,21
122466,RONALDO MANCHADO MARTINS,M,Em Exercício,27
178916,DANIEL PIRES COELHO,M,Em Exercício,26
178987,ORLANDO SILVA DE JESUS JUNIOR,M,Em Exercício,46
178957,ABEL SALVADOR MESQUITA JUNIOR,M,Em Exercício,24
94931,LÚCIO QUADROS VIEIRA LIMA,M,Em Exercício,28
92776,STEFANO AGUIAR DOS SANTOS,M,Em Exercício,18
160536,MARCO ANTONIO TEBALDI,M,Em Exercício,11
159238,MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,M,Em Exercício,26
178833,ALEXANDRE AUGUSTUS SERFIOTIS,M,Em Exercício,31
178862,ERONILDES VASCONCELOS CARVALHO,F,Em Exercício,24
74359,NILTON BALBINO,M,Em Exercício,9
178986,NILTO IGNACIO TATTO,M,Em Exercício,37
141441,GEORGE HILTON DOS SANTOS CECÍLIO,M,Em Exercício,16
74428,JOSÉ MENDONÇA BEZERRA FILHO,M,Em Exercício,31
178952,WALTER PEREIRA ALVES,M,Em Exercício,26
178965,JOAO DERLY DE OLIVEIRA NUNES JUNIOR,M,Em Exercício,36
73433,ARLINDO CHIGNALIA JUNIOR,M,Em Exercício,11
74040,BENJAMIN GOMES MARANHÃO NETO,M,Em Exercício,24
178885,ANTONIO DA CRUZ FILGUEIRA JUNIOR,M,Em Exercício,53
76287,MARCELO VIVIANI GONÇALVES,M,Em Exercício,22
160621,SANDRO ALEX CRUZ DE OLIVEIRA,M,Em Exercício,33
160617,THIAGO MELLO PEIXOTO DA SILVEIRA,M,Em Exercício,5
74253,JULIO LUIZ BAPTISTA LOPES,M,Vacância,25
74535,BENITO DA GAMA SANTOS,M,Em Exercício,38
178902,JOSE ORCIRIO MIRANDA DOS SANTOS,M,Em Exercício,9
178857,JORGE JOSE SANTOS PEREIRA SOLLA,M,Em Exercício,37
171619,MARIA MARGARIDA MARTINS SALOMÃO,F,Em Exercício,25
74273,JEFFERSON ALVES DE CAMPOS,M,Em Exercício,26
178880,MARCOS ABRAO RORIZ SOARES DE CARVALHO,M,Em Exercício,22
160515,RONALDO JOSÉ BENEDET,M,Em Exercício,27
160602,ARNALDO JORDY FIGUEIREDO,M,Em Exercício,49
141434,FLAVIANO FLÁVIO BAPTISTA DE MELO,M,Em Exercício,13
178918,KAIO CESAR DE MOURA MANICOBA NOVAES FERRAZ,M,Em Exercício,35
141527,RENATO DELMAR MOLLING,M,Em Exercício,17
74650,BONIFÁCIO JOSÉ TAMM DE ANDRADA,M,Em Exercício,23
73772,HERMES PARCIANELLO,M,Em Exercício,15
141405,CELSO MALDANER,M,Em Exercício,22
74140,JOSÉ CARLOS LEÃO DE ARAÚJO,M,Em Exercício,47
73655,AUGUSTO SILVEIRA DE CARVALHO,M,Em Exercício,8
160532,ADRIANO ELI CORRÊA,M,Em Exercício,26
162332,LUIZ HILOSHI NISHIMORI,M,Em Exercício,18
160510,LUIS HENRIQUE DE OLIVEIRA RESENDE,M,Em Exercício,14
74352,NILSON PINTO DE OLIVEIRA,M,Em Exercício,22
74847,JAIR MESSIAS BOLSONARO,M,Em Exercício,23
74570,JUTAHY MAGALHÃES JÚNIOR,M,Em Exercício,8
74319,JOSÉ FRANCISCO PAES LANDIM,M,Em Exercício,45
73458,ALEX CANZIANI SILVEIRA,M,Em Exercício,34
178935,VALDIR LUIZ ROSSONI,M,Em Exercício,6
178858,MARIO SILVIO MENDES NEGROMONTE JUNIOR,M,Em Exercício,42
178912,PEDRO OLIVEIRA CUNHA LIMA,M,Em Exercício,32
69871,JOAO CARLOS BACELAR BATISTA,M,Em Exercício,41
178881,ALUISIO GUIMARAES MENDES FILHO,M,Em Exercício,35
178953,EXPEDITO GONCALVES FERREIRA NETTO,M,Em Exercício,37
178837,RAIMUNDO ANGELIM VASCONCELOS,M,Em Exercício,36
178915,HEBERTE LAMARCK GOMES DA SILVA,M,Em Exercício,21
178878,GIUSEPPE VECCI,M,Em Exercício,26
178969,FABIO CRUZ MITIDIERI,M,Em Exercício,48
178985,MIGUEL LOMBARDI,M,Em Exercício,25
178842,JOAO HENRIQUE HOLANDA  CALDAS,M,Em Exercício,33
141484,LÚCIO DUTRA VALE,M,Em Exercício,16
141427,FÁBIO AUGUSTO RAMALHO DOS SANTOS,M,Em Exercício,25
178966,GEOVANIA DE SA RODRIGUES,F,Em Exercício,45
178947,SOSTENES SILVA CAVALCANTE,M,Em Exercício,60
178861,RONALDO CARLETTO,M,Em Exercício,15
178871,EVAIR VIEIRA DE MELO,M,Em Exercício,53
160569,WALDENOR ALVES PEREIRA FILHO,M,Em Exercício,18
178944,ROBERTO DA SILVA SALES,M,Em Exercício,27
160588,DIEGO LEONARDO DE ANDRADE CARVALHO,M,Em Exercício,22
160527,AGUINALDO VELLOSO BORGES RIBEIRO,M,Em Exercício,11
73692,OSMAR GASPARINI TERRA,M,Licenciado,3
160619,JOSÉ NUNES SOARES,M,Em Exercício,8
160628,LUCIANA BARBOSA DE OLIVEIRA SANTOS,F,Em Exercício,25
141507,MAURO MARIANI,M,Em Exercício,5
141398,CARLOS ALBERTO ROLIM ZARATTINI,M,Em Exercício,32
141500,MARCOS MONTES CORDEIRO,M,Em Exercício,29
160630,SÁGUAS MORAES SOUSA,M,Em Exercício,17
74172,WANDERLEY ALVES DE OLIVEIRA,M,Em Exercício,28
74090,ÁTILA SIDNEY LINS ALBUQUERQUE,M,Em Exercício,27
74235,MARCUS ANTÔNIO VICENTE,M,Em Exercício,26
141515,OTAVIO SANTOS SILVA LEITE,M,Em Exercício,30
74017,PAULO FERNANDO FEIJO TORRES,M,Em Exercício,11
74376,VANDER LUIZ DOS SANTOS LOUBET,M,Em Exercício,14
74216,RAIMUNDO GOMES DE MATOS,M,Em Exercício,2
178867,JOSE MARIA MACEDO JUNIOR,M,Em Exercício,26
118594,MARCELO SQUASSONI,M,Em Exercício,31
178876,CELIO ANTONIO DA SILVEIRA,M,Em Exercício,28
178845,RONALDO AUGUSTO LESSA SANTOS,M,Em Exercício,34
178864,JOSE ADAIL CARNEIRO SILVA,M,Em Exercício,42
178886,JOSE JUSCELINO DOS SANTOS REZENDE FILHO,M,Em Exercício,37
146788,MARCELO GUILHERME DE ARO FERREIRA,M,Em Exercício,43
178897,RODRIGO OTAVIO SOARES PACHECO,M,Em Exercício,18
160758,DOMINGOS SÁVIO CAMPOS RESENDE,M,Em Exercício,30
178950,ANTONIO JACOME DE LIMA JUNIOR,M,Em Exercício,28
178991,SERGIO BAVINI,M,Em Exercício,14
105112,LUIZ GIONILSON PINHEIRO BORGES,M,Em Exercício,26
178988,JOAO PAULO TAVARES PAPA,M,Em Exercício,35
134812,EDMILSON BRITO RODRIGUES,M,Em Exercício,40
178937,ALTINEU CÔRTES FREITAS COUTINHO,M,Em Exercício,47
141529,ROBERTO PEREIRA DE BRITTO,M,Em Exercício,21
160573,JOÃO JOSÉ DE ARRUDA JÚNIOR,M,Em Exercício,30
178920,RICARDO TEOBALDO CAVALCANTI,M,Em Exercício,12
178975,LUIZ FELIPE BALEIA TENUTO ROSSI,M,Em Exercício,16
160667,GUILHERME MUSSI FERREIRA,M,Em Exercício,26
160592,JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,M,Em Exercício,21
141430,FELIPE LEONE BORNIER DE OLIVEIRA,M,Em Exercício,49
178917,JOAO FERNANDO PONTUAL COUTINHO,M,Em Exercício,26
73466,RUBENS BUENO,M,Em Exercício,23
160553,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,M,Em Exercício,30
74762,JOSÉ SARAIVA FELIPE,M,Em Exercício,6
129037,GABRIEL GUIMARÃES DE ANDRADE,M,Em Exercício,22
73674,ROBERTO EGÍDIO BALESTRA,M,Em Exercício,18
74574,PAULO SÉRGIO PARANHOS DE MAGALHÃES,M,Em Exercício,20
74655,EDUARDO LUIZ BARROS BARBOSA,M,Em Exercício,38
73586,JÚLIO CÉSAR DELGADO,M,Em Exercício,25
73424,SIMÃO SESSIM,M,Em Exercício,14
74419,LUIZ GONZAGA PATRIOTA,M,Em Exercício,33
141487,LUIZ FERNANDO RAMOS FARIA,M,Em Exercício,15
141470,JOSÉ NOBRE GUIMARÃES,M,Em Exercício,27
74553,JOSÉ CARLOS ALELUIA COSTA,M,Em Exercício,30
178832,LEANDRE DAL PONTE,F,Em Exercício,39
178959,HIRAN MANUEL GONCALVES DA SILVA,M,Em Exercício,46
178903,ADILTON DOMINGOS SACHETTI,M,Em Exercício,26
178906,ROBERTO SALAME FILHO,M,Em Exercício,37
178869,VITOR PEREIRA VALIM,M,Em Exercício,62
178834,ADALBERTO SOUZA GALVÃO,M,Suplência,0
178926,RODRIGO RODRIGUES DE SOUZA MARTINS,M,Em Exercício,44
178889,JOSÉ CARLOS NUNES JÚNIOR,M,Em Exercício,26
178854,ELMAR JOSE VIEIRA NASCIMENTO,M,Em Exercício,32
73701,BENEDITA SOUZA DA SILVA SAMPAIO,F,Em Exercício,28
178941,EZEQUIEL CORTAZ TEIXEIRA,M,Em Exercício,35
178831,ANDRE DOS SANTOS ABDON,M,Em Exercício,23
178956,MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,F,Em Exercício,27
178923,JOSE CAVALCANTI ALVES JUNIOR,M,Em Exercício,27
178939,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,F,Em Exercício,21
178840,WHERLES FERNANDES DA ROCHA,M,Em Exercício,41
178929,DIEGO ALEXSANDER GONCALO PAULA GARCIA,M,Em Exercício,54
178993,CARLOS HENRIQUE AMORIM,M,Em Exercício,91
178874,ANTONIO SERGIO ALVES VIDIGAL,M,Em Exercício,45
178895,MISAEL ARTUR FERREIRA VARELLA,M,Em Exercício,16
178828,EVANDRO HERRERA BERTONE GUSSI,M,Em Exercício,38
178997,MOSES HAENDEL MELO RODRIGUES,M,Em Exercício,41
178884,HILDO AUGUSTO DA ROCHA NETO,M,Em Exercício,79
178848,MARIA DA CONCEICAO SAMPAIO MOURA,F,Em Exercício,44
178948,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,M,Em Exercício,27
73531,IVAN VALENTE,M,Em Exercício,19
178945,ROSANGELA DE SOUZA GOMES,F,Em Exercício,28
178964,HEITOR JOSE SCHUCH,M,Em Exercício,39
178967,JOAO PAULO KARAM KLEINUBING,M,Em Exercício,17
160538,ELVINO JOSÉ BOHN GASS,M,Em Exercício,25
160509,JORGINHO DOS SANTOS MELLO,M,Em Exercício,27
160604,PEDRO FRANCISCO UCZAI,M,Em Exercício,23
178979,ANTONIO FLORIANO PEREIRA PESARO,M,Em Exercício,7
178999,BRUNIELE FERREIRA GOMES,F,Em Exercício,16
178982,LUIZ LAURO FERREIRA FILHO,M,Em Exercício,22
171623,FABIO DE ALMEIDA REIS,M,Em Exercício,10
178856,JOAO GUALBERTO VASCONCELOS,M,Em Exercício,33
178838,CARLOS CESAR CORREIA DE MESSIAS,M,Em Exercício,21
67312,JULIA MARIA GODINHO DA CRUZ MARINHO,F,Em Exercício,16
143632,DOMINGOS GOMES DE AGUIAR NETO,M,Em Exercício,22
160651,ROGÉRIO MENDONÇA,M,Em Exercício,25
144523,DANIEL ELIAS CARVALHO VILELA,M,Em Exercício,40
178942,MARCO ANTONIO NEVES CABRAL,M,Em Exercício,16
141555,VINICIUS RAPOZO DE CARVALHO,M,Em Exercício,11
4930,SÍLVIO SERAFIM COSTA,M,Em Exercício,22
178835,AFONSO ANTUNES DA MOTTA,M,Em Exercício,0
141552,VALTENIR LUIZ PEREIRA,M,Em Exercício,26
178921,SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,M,Em Exercício,4
160589,BRUNA DIAS FURLAN,F,Em Exercício,18
160510,LUIS HENRIQUE DE OLIVEIRA RESENDE,M,Em Exercício,14
178830,SINVAL MALHEIROS PINTO JÚNIOR,M,Em Exercício,0
136811,JOSÉ ALFONSO EBERT HAMM,M,Suplência,8
160639,MARIA AUXILIADORA SEABRA REZENDE,F,Em Exercício,48
160572,JORGE WICKS CÔRTE REAL,M,Em Exercício,19
166401,NILSON APARECIDO LEITÃO,M,Em Exercício,39
160558,PAULO ROBERTO FREIRE DA COSTA,M,Em Exercício,27
178970,JOAO SOMARIVA DANIEL,M,Em Exercício,35
164360,CARMEN EMÍLIA BONFÁ ZANOTTO,F,Suplência,42
160633,LUIZ HENRIQUE MANDETTA,M,Em Exercício,43
160596,HEULER ABREU CRUVINEL,M,Em Exercício,26
178986,NILTO IGNACIO TATTO,M,Em Exercício,37
74460,MARCELO COSTA E CASTRO,M,Em Exercício,30
178954,LUCIO ANTONIO MOSQUINI,M,Em Exercício,23
178972,ALEX SPINELLI MANENTE,M,Em Exercício,30
178849,HISSA NAGIB ABRAHAO FILHO,M,Em Exercício,23
178904,EZEQUIEL ANGELO FONSECA,M,Em Exercício,30
141383,ANTONIO CARLOS MARTINS DE BULHÕES,M,Em Exercício,14
160530,ANTONIO JOSÉ IMBASSAHY DA SILVA,M,Em Exercício,23
74847,JAIR MESSIAS BOLSONARO,M,Em Exercício,23
178901,TEREZA CRISTINA CORREA DA COSTA DIAS,F,Em Exercício,35
74535,BENITO DA GAMA SANTOS,M,Em Exercício,38
178833,ALEXANDRE AUGUSTUS SERFIOTIS,M,Em Exercício,31
178916,DANIEL PIRES COELHO,M,Em Exercício,26
141454,JACOB ALFREDO STOFFELS KAEFER,M,Em Exercício,31
160640,EROS FERREIRA BIONDINI,M,Em Exercício,13
141417,ÉDIO VIEIRA LOPES,M,Em Exercício,29
74585,LINCOLN DINIZ PORTELA,M,Em Exercício,30
74050,MAURÍCIO QUINTELLA MALTA LESSA,M,Em Exercício,15
74400,PAULO ROBERTO SEVERO PIMENTA,M,Em Exercício,28
74862,MIRO TEIXEIRA,M,Em Exercício,5
177282,LUIZ GONZAGA RIBEIRO,M,Vacância,3
160672,JEAN WYLLYS DE MATOS SANTOS,M,Em Exercício,24
160659,IOLANDA KEIKO MIASHIRO OTA,F,Em Exercício,29
74351,JOSUÉ BENGTSON,M,Em Exercício,23
74385,HIDEKAZU TAKAYAMA,M,Em Exercício,16
160602,ARNALDO JORDY FIGUEIREDO,M,Em Exercício,49
160559,ALCEU MOREIRA DA SILVA,M,Em Exercício,28
141389,ANTONIO PEDRO INDIO DA COSTA,M,Em Exercício,21
74317,JÚLIO CÉSAR DE CARVALHO LIMA,M,Em Exercício,28
74171,FRANCISCO RODRIGUES DE ALENCAR FILHO,M,Em Exercício,27
141516,PAULO ABI-ACKEL,M,Em Exercício,25
133439,ANDRÉ PEIXOTO FIGUEIREDO LIMA,M,Em Exercício,19
160552,DANRLEI DE DEUS HINTERHOLZ,M,Em Exercício,11
141441,GEORGE HILTON DOS SANTOS CECÍLIO,M,Em Exercício,16
166402,MAGDA MOFATTO HON,F,Em Exercício,17
159238,MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,M,Em Exercício,26
